Human|[Human]
Membrane Potentials|[Membrane Potential$Membrane Potentials$Potential, Membrane$Potentials, Membrane$Potential, Resting$Potentials, Resting$Resting Potential$Resting Potentials$Potential, Transmembrane$Potentials, Transmembrane$Transmembrane Potential$Transmembrane Potentials]
Isoenzymes|[Isoenzymes$Isozymes]
Phosphorylation|[Phosphorylation$Phosphorylations]
Respiration|[Respiration$Breathing]
Cell Respiration|[Cell Respiration$Cell Respirations$Respiration, Cell$Cellular Respiration$Cellular Respirations$Respiration, Cellular]
DNA, Viral|[DNA, Viral$Viral DNA]
Transplantation, Homologous|[Homograft$Homografts$Allogeneic Transplantation$Allogeneic Transplantations$Transplantation, Allogeneic$Transplantations, Allogeneic$Homologous Transplantation$Homologous Transplantations$Transplantation, Homologous$Transplantations, Homologous]
Collagen|[Collagen$Collagens]
Ultrasonography|[Echography$Ultrasonography$Echotomographies$Echotomography$Ultrasonic Imaging$Imaging, Ultrasonic$Imagings, Ultrasonic$Ultrasonic Imagings]
use of ultrasonography|[echography$ultrasonic diagnosis$ultrasonography$echotomography]
Survival Rate|[Rate, Survival$Rates, Survival$Survival Rate$Survival Rates]
Skin Neoplasms|[Neoplasm, Skin$Neoplasms, Skin$Skin Neoplasm$Skin Neoplasms]
Neoplasm Metastasis|[Metastases$Metastasis$Metastases, Neoplasm$Metastasis, Neoplasm$Neoplasm Metastases$Neoplasm Metastasis]
Regression Analysis|[Analysis, Regression$Regression Analysis$Diagnostics, Regression$Regression Diagnostics$Regression, Statistical$Regressions, Statistical$Statistical Regression$Statistical Regressions$Analyses, Regression$Regression Analyses]
Neutrophils|[Neutrophil$Neutrophils$Leukocyte, Polymorphonuclear$Leukocytes, Polymorphonuclear$Polymorphonuclear Leukocyte$Polymorphonuclear Leukocytes]
Occupational Diseases|[Disease, Occupational$Diseases, Occupational$Occupational Disease$Occupational Diseases]
Organ Weight|[Organ Weight$Organ Weights$Weight, Organ$Weights, Organ]
Antibody Formation|[Antibody Formation$Formation, Antibody$Antibody Production$Production, Antibody$Antibody Response$Antibody Responses$Response, Antibody$Responses, Antibody]
DNA-Binding Proteins|[Binding Protein, DNA$DNA Binding Protein$DNA Binding Proteins$DNA-Binding Proteins$Protein, DNA Binding$Proteins, DNA-Binding]
Fetus|[Fetus$Fetuses]
Carbon Dioxide|[Carbon Dioxide$Dioxide, Carbon$Carbon dioxide$Anhydride, Carbonic$Carbonic Anhydride]
Estradiol|[17 beta Estradiol$17 beta Oestradiol$17 beta-Estradiol$17 beta-Oestradiol$Estradiol 17 beta$Estradiol-17 beta$Estradiol$Oestradiol$Estra-1,3,5(10)-triene-3,17-diol (17beta)-]
Japan|[Japan]
Heart Ventricle|[Heart Ventricle$Heart Ventricles$Ventricle, Heart$Ventricles, Heart]
Mice, Inbred Strains|[Inbred Mouse Strain$Inbred Mouse Strains$Inbred Strain of Mouse$Inbred Strains of Mice$Mice, Inbred Strains$Mouse Inbred Strain$Mouse Inbred Strains$Mouse Strain, Inbred$Mouse Strains, Inbred$Mouse, Inbred Strain$Strain, Inbred Mouse$Strains, Inbred Mouse$Inbred Strain of Mice]
Antigens|[Antigen$Antigens]
Magnesium|[Magnesium]
Membrane Proteins|[Membrane Protein$Membrane Proteins$Protein, Membrane$Proteins, Membrane$Membrane Associated Proteins$Membrane-Associated Proteins$Proteins, Membrane-Associated$Proteins, Surface$Surface Proteins]
B-Lymphocytes|[B Cells$B-Cell$B-Cells$B Lymphocytes$B-Lymphocyte$B-Lymphocytes$Bursa Dependent Lymphocytes$Bursa-Dependent Lymphocyte$Bursa-Dependent Lymphocytes$Lymphocyte, Bursa-Dependent$Lymphocytes, Bursa-Dependent]
RNA|[Acid, Ribonucleic$Ribonucleic Acid$Ribonucleic acids$RNA$Non Polyadenylated RNA$Non-Polyadenylated RNA$RNA, Non Polyadenylated$RNA, Non-Polyadenylated$Gene Products, RNA$RNA Gene Products]
HIV Infections|[HIV Infections$Infection, HIV$Infections, HIV$HIV Infection$HTLV III Infections$HTLV-III Infections$Infection, HTLV-III$Infections, HTLV-III$HTLV-III Infection$HTLV III LAV Infections$HTLV-III-LAV Infections$Infection, HTLV-III-LAV$Infections, HTLV-III-LAV$HTLV-III-LAV Infection$T-Lymphotropic Virus Type III Infections, Human$T Lymphotropic Virus Type III Infections, Human]
Drug Resistance, Microbial|[Drug Resistance, Microbial$Drug Resistances, Microbial$Antimicrobial Drug Resistance$Antimicrobial Drug Resistances]
Blood Platelets|[Blood Platelets$Platelet, Blood$Platelets, Blood$Blood Platelet$Platelet$Platelets$Thrombocyte$Thrombocytes]
Brain Neoplasms|[Brain Neoplasms$Neoplasm, Brain$Neoplasms, Brain$Brain Neoplasm$Brain Tumor$Brain Tumors$Tumor, Brain$Tumors, Brain]
Spectrophotometry|[Spectrophotometry]
Rheumatoid Arthritis|[Arthritis, Rheumatoid$Rheumatoid Arthritis]
Kidney Transplantation|[Grafting, Kidney$Kidney Grafting$Kidney Transplantation$Kidney Transplantations$Transplantation, Kidney$Transplantations, Kidney$Renal Transplantation$Renal Transplantations$Transplantation, Renal$Transplantations, Renal]
Drug Interactions|[Drug Interactions$Interaction, Drug$Interactions, Drug$Drug Interaction]
Drug or chemical Tissue Distribution|[Distribution, Tissue$Distributions, Tissue$Tissue Distribution$Tissue Distributions]
tissue distribution aspects|[tissue distribution]
Serotonin|[5-HT$5 Hydroxytryptamine$5-Hydroxytryptamine$Serotonin$1H-Indol-5-ol, 3-(2-aminoethyl)-$3-(2-Aminoethyl)-1H-indol-5-ol$Enteramine$Hippophaine]
Mitochondria|[Mitochondria$Mitochondrion]
Immunoenzyme Techniques|[Immunoenzyme Technique$Immunoenzyme Techniques$Technique, Immunoenzyme$Techniques, Immunoenzyme$Immunoenzyme Technic$Immunoenzyme Technics$Technic, Immunoenzyme$Technics, Immunoenzyme]
Spinal Cord|[Cord, Spinal$Cords, Spinal$Spinal Cord$Spinal Cords]
Spinal Cord Diseases|[Spinal Cord Disease$Spinal Cord Diseases$Spinal Cord Disorder$Spinal Cord Disorders$Myelopathy$Myelopathies]
Malignant neoplasm of spinal cord|[Spinal Cord Neoplasms, Malignant]
Benign neoplasm of spinal cord|[Spinal Cord Neoplasms, Benign]
Saccharomyces cerevisiae|[Baker's Yeast$Yeast, Baker's$Saccharomyces cerevisiae$Brewer's Yeast$Yeast, Brewer's]
Substance-Related Disorders|[Substance-Related Disorders]
Diagnostic Neoplasm Staging|[Cancer Staging$Staging, Cancer$Neoplasm Staging$Staging, Neoplasm$Staging, Tumor$Tumor Staging]
Models, Molecular|[Model, Molecular$Models, Molecular$Molecular Model$Molecular Models]
Epitopes|[Antigenic Determinants$Determinants, Antigenic$Epitopes]
England|[England]
Alcoholism|[Alcoholism$Alcoholic Intoxication, Chronic$Chronic Alcoholic Intoxication$Intoxication, Chronic Alcoholic]
Promoter Regions (Genetics)|[Promotor Region$Promotor Regions$Region, Promotor$Regions, Promotor$Promoter Regions (Genetics)$Promoter Region (Genetics)$Region, Promoter (Genetics)$Regions, Promoter (Genetics)$Promotor Regions (Genetics)$Promotor Region (Genetics)$Region, Promotor (Genetics)$Regions, Promotor (Genetics)$Promoter Region$Promoter Regions$Region, Promoter$Regions, Promoter]
Action Potentials|[Action Potential$Action Potentials$Potential, Action$Potentials, Action]
Antineoplastic Combined Chemotherapy Protocols|[Anticancer Drug Combinations$Drug Combinations, Anticancer$Anticancer Drug Combination$Drug Combination, Anticancer$Agents, Combined Antineoplastic$Antineoplastic Agents, Combined$Combined Antineoplastic Agents$Agent, Combined Antineoplastic$Antineoplastic Agent, Combined$Combined Antineoplastic Agent$Antineoplastic Drug Combinations$Combinations, Antineoplastic Drug$Drug Combinations, Antineoplastic$Antineoplastic Drug Combination$Drug Combination, Antineoplastic$Antineoplastic Combined Chemotherapy Protocols$Antineoplastic Combined Chemotherapy Regimens]
Pedigree|[Pedigree$Family Tree$Family Trees$Tree, Family$Trees, Family$Genealogic Tree$Genealogic Trees$Genealogical Tree$Genealogical Trees$Tree, Genealogic$Tree, Genealogical$Trees, Genealogic$Trees, Genealogical]
Substrate Specificity|[Specificities, Substrate$Specificity, Substrate$Substrate Specificities$Substrate Specificity]
Autoradiography|[Autoradiography$Radioautography]
Blood Proteins|[Blood Proteins$Proteins, Blood]
DNA, Bacterial|[Bacterial DNA$DNA, Bacterial]
Staining and Labeling|[Labeling and Staining$Staining and Labeling]
Random Allocation|[Allocation, Random$Random Allocation$Random Selection$Selection, Random$Randomization]
Ethanol|[Alcohol, Ethyl$Ethyl Alcohol$Ethanol$Alcohol, Grain$Grain Alcohol]
Computers|[Computer$Computers]
Bone Marrow|[Bone Marrow$Marrow, Bone]
Socioeconomic Factors|[Factor, Socioeconomic$Factors, Socioeconomic$Socioeconomic Factor$Socioeconomic Factors]
Tissue Culture|[Culture, Tissue$Cultures, Tissue$Tissue Culture$Tissue Cultures]
Blotting, Western|[Blotting, Western$Western Blotting$Immunoblottings, Western$Western Immunoblottings$Blottings, Western$Western Blottings$Immunoblotting, Western$Western Immunoblotting]
Western Blot|[Blot, Western$Blots, Western$Western Blots$Western Blot$Immunoblot, Western$Immunoblots, Western$Western Immunoblot$Western Immunoblots]
DNA Primers|[Oligodeoxyribonucleotide Primers$Primers, Oligodeoxyribonucleotide$DNA Primers$Primers, DNA]
Exertion|[Effort$Efforts$Exertion$Exertions]
Chick Embryo|[Chick Embryo$Chick Embryos$Embryo, Chick$Embryos, Chick]
Light|[Light$Photoradiation$Photoradiations]
Lighting|[Illumination$Lighting]
Kidney Failure, Chronic|[Chronic Kidney Failure$Chronic Kidney Failures$Failure, Chronic Kidney$Failures, Chronic Kidney$Kidney Failure, Chronic$Kidney Failures, Chronic$Chronic Renal Failures$Failure, Chronic Renal$Failures, Chronic Renal$Renal Failure, Chronic$Renal Failures, Chronic$Chronic Renal Failure$End-Stage Kidney Disease$Disease, End-Stage Kidney$Diseases, End-Stage Kidney$End-Stage Kidney Diseases$Kidney Disease, End-Stage$Kidney Diseases, End-Stage$End Stage Kidney Disease$ESRD$Kidney Insufficiency, Chronic$Chronic Kidney Insufficiencies$Chronic Kidney Insufficiency$Insufficiencies, Chronic Kidney$Insufficiency, Chronic Kidney$Kidney Insufficiencies, Chronic$End-Stage Renal Disease$Renal Disease, End-Stage$Disease, End-Stage Renal$Diseases, End-Stage Renal$End-Stage Renal Diseases$Renal Disease, End Stage$Renal Diseases, End-Stage$End Stage Renal Disease$Renal Failure, End-Stage$End-Stage Renal Failure$End-Stage Renal Failures$Failure, End-Stage Renal$Failures, End-Stage Renal$Renal Failure, End Stage$Renal Failures, End-Stage$Renal Insufficiency, Chronic$Chronic Renal Insufficiencies$Chronic Renal Insufficiency$Insufficiencies, Chronic Renal$Insufficiency, Chronic Renal$Renal Insufficiencies, Chronic]
Regional Blood Flow|[Blood Flow, Regional$Blood Flows, Regional$Flow, Regional Blood$Flows, Regional Blood$Regional Blood Flow$Regional Blood Flows]
Renal dialysis|[Dialyses, Renal$Renal Dialyses$Renal Dialysis$Dialysis, Renal]
Neoplasms, Experimental|[Experimental Neoplasm$Experimental Neoplasms$Neoplasm, Experimental$Neoplasms, Experimental]
Dopamine|[3,4 Dihydroxyphenethylamine$3,4-Dihydroxyphenethylamine$Dopamine$Hydroxytyramine$4-(2-Aminoethyl)-1,2-benzenediol$1,2-Benzenediol, 4-(2-aminoethyl)-]
Science of Statistics|[Statistics]
Schizophrenia|[Schizophrenias$Schizophrenia$Disorder, Schizophrenic$Disorders, Schizophrenic$Schizophrenic Disorder$Schizophrenic Disorders]
Bacterial Infections|[Bacterial Infection$Bacterial Infections$Infection, Bacterial$Infections, Bacterial]
Antibodies, Viral|[Antibodies, Viral$Viral Antibodies]
Chromosome Aberrations|[Aberration, Chromosome$Aberrations, Chromosome$Chromosome Aberration$Chromosome Aberrations$Abnormalities, Chromosome$Abnormality, Chromosome$Chromosome Abnormalities$Chromosome Abnormality$Chromosomal Abnormality$Abnormalities, Chromosomal$Abnormality, Chromosomal$Chromosomal Abnormalities$Aberration, Chromosomal$Aberrations, Chromosomal$Chromosomal Aberration$Chromosomal Aberrations$Aberration, Cytogenetic$Aberrations, Cytogenetic$Cytogenetic Aberration$Cytogenetic Aberrations$Abnormalities, Cytogenetic$Abnormality, Cytogenetic$Cytogenetic Abnormalities$Cytogenetic Abnormality]
Bone and Bones|[Bone and Bones$Bones and Bone$Bones and Bone Tissue]
Transcription Factors|[Factor, Transcription$Factors, Transcription$Transcription Factor$Transcription Factors]
Leukocytes|[Leukocyte$Leukocytes$Blood Cells, White$White Blood Cells$Blood Cell, White$White Blood Cell]
Feces|[Feces]
Macromolecular Systems|[Macromolecular Systems$Systems, Macromolecular]
Gestational Age|[Chronologic Fetal Maturity$Fetal Maturity, Chronologic$Maturity, Chronologic Fetal$Age, Gestational$Ages, Gestational$Gestational Age$Gestational Ages]
Carbon Isotopes|[Carbon Isotopes$Isotopes, Carbon]
Hydrocortisone|[Cortisol$Hydrocortisone$Pregn-4-ene-3,20-dione, 11,17,21-trihydroxy-, (11beta)-]
Microbial Sensitivity Tests|[Drug Sensitivity Assay, Microbial$Microbial Sensitivity Test$Microbial Sensitivity Tests$Sensitivity Test, Microbial$Sensitivity Tests, Microbial$Test, Microbial Sensitivity$Tests, Microbial Sensitivity]
lymph nodes|[Lymph Nodes$Node, Lymph$Nodes, Lymph$Lymph Node]
Glycoproteins|[Glycoprotein$Glycoproteins]
Cytoplasm|[Cytoplasm$Cytoplasms]
Obesity|[Obesity]
Iron|[Iron]
Pancreas|[Pancreas]
Pancreatic Diseases|[Disease, Pancreatic$Diseases, Pancreatic$Pancreatic Disease$Pancreatic Diseases]
Pregnancy Complications|[Complication, Pregnancy$Complications, Pregnancy$Pregnancy Complication$Pregnancy Complications]
Electromyography|[Electromyographies$Electromyography]
Immune Sera|[Antisera$Immune Sera$Immune Serums$Sera, Immune$Serums, Immune]
Phospholipids|[Phosphatides$Phospholipids]
Arteriosclerosis|[Arterioscleroses$Arteriosclerosis]
Hydrotherapy|[Hydrotherapies$Hydrotherapy]
Water|[Water$Waters$Hydrogen Oxide$Hydrogen Oxides$Oxide, Hydrogen$Oxides, Hydrogen]
Enzyme Inhibitors|[Enzyme Inhibitors$Inhibitors, Enzyme]
Hippocampus (Brain)|[Hippocampus$Ammon Horn$Ammon's Horn$Ammons Horn$Horn, Ammon's$Horn, Ammon$Cornu Ammonis]
Neoplasm Recurrence, Local|[Local Neoplasm Recurrence$Local Neoplasm Recurrences$Neoplasm Recurrence, Local$Neoplasm Recurrences, Local$Recurrence, Local Neoplasm$Recurrences, Local Neoplasm]
Carcinoma|[Carcinoma$Carcinomas$Epithelial Tumors, Malignant$Malignant Epithelial Tumor$Malignant Epithelial Tumors$Tumor, Malignant Epithelial$Tumors, Malignant Epithelial$Epithelial Tumor, Malignant$Epithelioma$Epitheliomas$Malignant Epithelial Neoplasms$Neoplasms, Malignant Epithelial$Epithelial Neoplasms, Malignant$Epithelial Neoplasm, Malignant$Malignant Epithelial Neoplasm$Neoplasm, Malignant Epithelial]
Behavior, Animal|[Animal Behavior$Animal Behaviors$Behavior, Animal$Behaviors, Animal]
Nucleic Acid Hybridization|[Hybridization, Nucleic Acid$Hybridizations, Nucleic Acid$Nucleic Acid Hybridization$Nucleic Acid Hybridizations$Acid Hybridization, Nucleic$Acid Hybridizations, Nucleic]
Endothelium, Vascular|[Endotheliums, Vascular$Vascular Endotheliums$Endothelium, Vascular$Vascular Endothelium]
Thin Layer Chromatography|[Chromatographies, Thin Layer$Chromatographies, Thin-Layer$Chromatography, Thin Layer$Chromatography, Thin-Layer$Thin Layer Chromatographies$Thin-Layer Chromatographies$Thin-Layer Chromatography$Thin Layer Chromatography]
Genotype|[Genotype$Genotypes]
Kidney Diseases|[Diseases, Kidney$Kidney Diseases$Disease, Kidney$Kidney Disease]
Microscopy, Electron, Scanning|[Electron Microscopies, Scanning$Electron Microscopy, Scanning$Electron Scanning Microscopies$Electron Scanning Microscopy$Microscopies, Electron Scanning$Microscopies, Scanning Electron$Microscopy, Electron Scanning$Microscopy, Electron, Scanning$Microscopy, Scanning Electron$Scanning Electron Microscopies$Scanning Electron Microscopy$Scanning Microscopies, Electron$Scanning Microscopy, Electron]
Predictive Value of Tests|[Predictive Value of Tests]
Flow Cytometry|[Cytofluorometry, Flow$Flow Cytofluorometry$Cytometries, Flow$Cytometry, Flow$Flow Cytometries$Flow Cytometry$Flow Microfluorimetry$Microfluorimetry, Flow$Flow Microfluorometries$Flow Microfluorometry$Microfluorometries, Flow$Microfluorometry, Flow$Cytofluorometries, Flow$Flow Cytofluorometries]
Testosterone|[8-Isotestosterone$8 Isotestosterone$Testosterone$Androst-4-en-3-one, 17-(1-oxopropoxy)-, (17beta)-]
Liver diseases|[Diseases, Liver$Liver Diseases$Disease, Liver$Liver Disease]
Cross-Sectional Studies|[Analysis, Cross Sectional$Analysis, Cross-Sectional$Cross Sectional Analysis$Cross-Sectional Analysis$Cross Sectional Studies$Cross-Sectional Studies$Cross-Sectional Study$Studies, Cross-Sectional$Study, Cross-Sectional$Cross Sectional Survey$Cross-Sectional Survey$Cross-Sectional Surveys$Survey, Cross-Sectional$Surveys, Cross-Sectional$Disease Frequency Survey$Disease Frequency Surveys$Survey, Disease Frequency$Surveys, Disease Frequency$Analyses, Cross Sectional$Analyses, Cross-Sectional$Cross Sectional Analyses$Cross-Sectional Analyses]
Reaction Time|[Reaction Time$Reaction Times$Time, Reaction$Times, Reaction$Response Time$Response Times$Time, Response$Times, Response]
Alleles|[Allele$Alleles$Allelomorph$Allelomorphs]
Inferior Colliculus|[Colliculus, Inferior$Inferior Colliculus]
Testicular Diseases|[Disease, Testicular$Diseases, Testicular$Testicular Disease$Testicular Diseases]
Testis|[Testis$Testes$Testicle$Testicles]
Solubility|[Solubilities$Solubility]
Binding, Competitive|[Binding, Competitive$Bindings, Competitive$Competitive Binding$Competitive Bindings]
Drug Synergism|[Drug Synergism$Drug Synergisms$Synergism, Drug$Synergisms, Drug]
Circadian Rhythm|[Circadian Rhythm$Rhythm, Circadian$Rhythms, Circadian$Circadian Rhythms$Diurnal Rhythm$Diurnal Rhythms$Rhythm, Diurnal$Rhythms, Diurnal$Nyctohemeral Rhythm$Nyctohemeral Rhythms$Rhythm, Nyctohemeral$Rhythms, Nyctohemeral$Rhythm, Twenty-Four Hour$Rhythms, Twenty-Four Hour$Twenty Four Hour Rhythm$Twenty-Four Hour Rhythm$Twenty-Four Hour Rhythms]
Epinephrine|[Adrenaline$Epinephrine$4-(1-Hydroxy-2-(methylamino)ethyl)-1,2-benzenediol$1,2-Benzenediol, 4-(1-hydroxy-2-(methylamino)ethyl)-, (R)-]
Stomach Neoplasms|[Neoplasm, Stomach$Neoplasms, Stomach$Stomach Neoplasm$Stomach Neoplasms$Gastric Neoplasm$Gastric Neoplasms$Neoplasm, Gastric$Neoplasms, Gastric]
Haplorhini|[Anthropoidea$Anthropoid$Anthropoids$Haplorhini]
Case-Control Studies|[Case Base Studies$Case-Base Studies$Case-Base Study$Studies, Case-Base$Study, Case-Base$Case Comparison Studies$Case-Comparison Studies$Case-Comparison Study$Studies, Case-Comparison$Study, Case-Comparison$Case Compeer Studies$Case-Compeer Studies$Case-Compeer Study$Studies, Case-Compeer$Study, Case-Compeer$Case Control Studies$Case Control Study$Case-Control Studies$Case-Control Study$Studies, Case Control$Studies, Case-Control$Study, Case Control$Study, Case-Control$Case Referent Studies$Case-Referent Studies$Case-Referent Study$Studies, Case-Referent$Study, Case-Referent$Case Referrent Studies$Case-Referrent Studies$Case-Referrent Study$Studies, Case-Referrent$Study, Case-Referrent]
Intestinal Mucosa|[Intestinal Mucosa$Mucosa, Intestinal]
Stress, Psychological|[Psychological Stress$Psychological Stresses$Stress, Psychological$Stresses, Psychological$Psychologic Stress$Stress, Psychologic$Life Stress$Life Stresses$Stress, Life$Stresses, Life]
